SPort, DPort, SPkts, DPkts, SBytes, DBytes, Protocol, SYN, ACK, FIN, PSH, RST, URG, SYN+ACK, Duration, IsAlive, Service, UniqueDests, UniqueSrcs, UniqueDestSocks, UniqueSrcSocks,target
39618,53,2,0,150,0,17,0,0,0,0,0,0,0,7.024338007,1,0,12,1,1,12,1
53,39618,2,0,586,0,17,0,0,0,0,0,0,0,6.599069834,1,0,1,12,11,1,1
38130,443,134,0,43126,0,17,0,0,0,0,0,0,0,6.571550369,1,0,12,1,1,4,0
40170,443,11,0,1406,0,6,1,10,1,4,0,0,11,6.57126689,1,0,12,1,1,4,0
40182,443,12,0,1460,0,6,1,11,1,4,0,0,12,6.57102108,1,0,12,1,1,4,0
40188,443,9,0,1288,0,6,1,8,0,4,0,0,9,6.570685387,1,0,12,1,1,4,0
443,40170,11,0,8051,0,6,1,11,1,3,0,0,11,6.524443388,1,0,1,12,4,1,0
443,40182,11,0,8052,0,6,1,11,1,3,0,0,11,6.507337809,1,0,1,12,4,1,0
443,40188,8,0,7877,0,6,1,8,0,3,0,0,8,6.506725788,1,0,1,12,4,1,0
443,38130,605,0,754196,0,17,0,0,0,0,0,0,0,6.494987488,1,0,1,12,4,1,0
44529,53,1,0,73,0,17,0,0,0,0,0,0,0,6.26823163,1,0,12,1,1,12,0
53,44529,1,0,124,0,17,0,0,0,0,0,0,0,6.246817589,1,0,1,12,11,1,0
36940,80,9,0,1762,0,6,1,8,0,3,0,0,9,6.243144751,1,0,12,1,1,5,0
48061,53,1,0,73,0,17,0,0,0,0,0,0,0,6.234556198,1,0,12,1,1,12,0
80,36940,8,0,3262,0,6,1,8,0,4,0,0,8,6.098556519,1,0,1,12,5,1,0
53,48061,1,0,124,0,17,0,0,0,0,0,0,0,6.086225033,1,0,1,12,11,1,0
36948,80,8,0,1708,0,6,1,7,0,3,0,0,8,6.08557415,1,0,12,1,1,5,0
36956,80,9,0,1763,0,6,1,8,0,3,0,0,9,6.085219622,1,0,12,1,1,5,0
80,36956,8,0,3263,0,6,1,8,0,4,0,0,8,6.011100769,1,0,1,12,5,1,0
